Утраченные иллюзии,Оноре де Бальзак,https://img4.labirint.ru/rc/e32aa2b2a3d7e68a167ce95a85b584a1/363x561q80/books64/635822/cover.png?1575383209,https://www.labirint.ru/books/635822/
Мэнсфилд-парк,Джейн Остин,https://img4.labirint.ru/rc/6fa53c1d88c9494f0a73cad0bbc64c29/363x561q80/books88/877318/cover.jpg?1661700338,https://www.labirint.ru/books/877318/
Милый друг,Ги де Мопассан,https://img4.labirint.ru/rc/9dc136387058e3ae6277dfd3848efa3e/363x561q80/books66/655792/cover.png?1575372533,https://www.labirint.ru/books/655792/
Гобсек,Оноре де Бальзак,https://img3.labirint.ru/rc/ee378a2128cc7464298b2eb16ffda6bf/363x561q80/books69/680855/cover.png?1575361725,https://www.labirint.ru/books/680855/
Таинственный остров,Жюль Верн,https://img3.labirint.ru/rc/4c92e8f399c4675e87d9a865127eff69/363x561q80/books58/570599/cover.png?1575451640,https://www.labirint.ru/books/570599/
Как была набрана одна газетная заметка,Эдгар Аллан По,img,ссылки нет
Чертог фантазии,Натаниэль Готорн,img,ссылки нет
Загадочный дом на туманном утёсе,Говард Лавкрафт,https://img4.labirint.ru/rc/c49429abe448403383c5cd65c80bfac1/363x561q80/books47/460084/cover.jpg?1431523652,https://www.labirint.ru/books/460084/
Украденное тело,Герберт Уэллс,img,ссылки нет
Война сахибов,Редьярд Киплинг,img,ссылки нет
Щелкунчик,Гарриет Бичер-Стоу,img,ссылки нет
"Эгоизм, или Лоно-Змея",Натаниэль Готорн,img,ссылки нет
За мельничной запрудой,Редьярд Киплинг,img,ссылки нет
Запах хризантем,Дэвид Герберт Лоуренс,https://img3.labirint.ru/rc/8eb4b154a18f9e76e228489f7c3154d4/363x561q80/books26/255893/cover.jpg?1563601776,https://www.labirint.ru/books/255893/
Талисман,Вальтер Скотт,https://img3.labirint.ru/rc/63fa5393bff5f728db3e17286bd165da/363x561q80/books81/801519/cover.png?1619191564,https://www.labirint.ru/books/801519/
Бен-Товит,Леонид Андреев,img,ссылки нет
Роб Рой,Вальтер Скотт,https://img3.labirint.ru/rc/b456e8148de2347f6376ebe70cc771d6/363x561q80/books81/802931/cover.jpg?1621002403,https://www.labirint.ru/books/802931/
Бедая Компания,Артур Конан Дойл,img,ссылки нет
Катриона,Роберт Льюис Стивенсон,https://img3.labirint.ru/rc/8bd51aeee989d1b2028c163951e35416/363x561q80/books82/810205/cover.png?1631607918,https://www.labirint.ru/books/810205/
"Пионеры, или У истоков Саскуиханны",Джеймс Фенимор Купер,https://img3.labirint.ru/rc/411ce2cec8813d679d6df9ced969dee6/363x561q80/books56/557873/cover.jpg?1478265943,https://www.labirint.ru/books/557873/
Испытание Ричарда Феверела,Джордж Мередит,img,ссылки нет
Тайна четырех бассейнов,Джин Вебстер,img,ссылки нет
Меч царя Соломона,Генри Райдер Хаггард,https://img4.labirint.ru/rc/eb9a6f337b9276955f5cef40a6ccf6c8/363x561q80/books46/451006/cover.png?1575397507,https://www.labirint.ru/books/451006/
Ганс - мой ежик,Братья Гримм,img,ссылки нет
Шестеро слуг,Братья Гримм,img,ссылки нет
Необыкновенное путешествие к центру земли,Эдгар Райс Берроуз,img,ссылки нет
История Платтнера,Герберт Уэллс,img,ссылки нет
Рассказ рядового Лиройда,Редьярд Киплинг,img,ссылки нет
Пестрая шкурка,Братья Гримм,img,ссылки нет
Любопытное происшествие,Марк Твен,img,ссылки нет
Повесть о приключениях Артура Гордона Пима,Эдгар Аллан По,https://img4.labirint.ru/rc/feb1d5f8a9b8157c0f31b4c9e26be310/363x561q80/books20/195236/cover.jpg?1280394613,https://www.labirint.ru/books/195236/
Салат полковника Крэя,Гилберт Кит Честертон,img,ссылки нет
Серебряный топор,Артур Конан Дойл,img,ссылки нет
Таинственный корабль,Говард Лавкрафт,img,ссылки нет
Новейший ускоритель,Герберт Джордж Уэллс,https://img4.labirint.ru/rc/2b8d4833abd0dd7097798821503f8d96/363x561q80/books83/829008/cover.png?1644503105,https://www.labirint.ru/books/829008/
Лунный камень,Уилки Коллинз,https://img4.labirint.ru/rc/0e1742d62e5de28837cb929e153af83c/363x561q80/books83/823014/cover.png?1642483502,https://www.labirint.ru/books/823014/
Ecce Homo. Как становятся сами собою,Фридрих Ницше,img,ссылки нет
Дэвид Копперфильд,Чарльз Диккенс,https://img4.labirint.ru/rc/ac3ac39765eb7a0b372152b38d34a673/363x561q80/books86/854432/cover.jpg?1651494311,https://www.labirint.ru/books/854432/
"Оцеола, вождь семинолов",Томас Майн Рид,https://img3.labirint.ru/rc/39366f35a15856a9b8ba978b9febd859/363x561q80/books86/857305/cover.png?1658831114,https://www.labirint.ru/books/857305/
Дом о семи фронтонах,Натаниэль Готорн,https://img3.labirint.ru/rc/def6338db7de84f1b3b28728f18507a9/363x561q80/books48/478887/cover.jpg?1460445972,https://www.labirint.ru/books/478887/
Нортенгерское аббатство,Джейн Остин,https://img4.labirint.ru/rc/2d6e3aca27a2b355a6ef62646b42d74f/363x561q80/books62/617060/cover.jpg?1612715270,https://www.labirint.ru/books/617060/
Антиквар,Вальтер Скотт,https://img4.labirint.ru/rc/4a40478a33fc06401654a9d3d3280c48/363x561q80/books35/342480/cover.jpg?1563684650,https://www.labirint.ru/books/342480/
